[2013-01-26 00:06:32] lukeis, joining. (#appium)
[2013-01-26 00:20:50] lukeis, quitting. (Quit: Leaving.)
[2013-01-26 01:10:29] santiycr, joining. (#appium)
[2013-01-26 01:22:14] santiycr, quitting. (Quit: Leaving.)
[2013-01-26 01:48:41] stackedsax, quitting. (Quit: Leaving.)
[2013-01-26 06:30:31] stackedsax, joining. (#appium)
[2013-01-26 09:05:06] smccarthy, joining. (#appium)
[2013-01-26 10:38:01] smccarthy, quitting. (Remote host closed the connection)
[2013-01-26 10:47:30] smccarthy, joining. (#appium)
