[2013-01-25 00:48:06] sourishkrout, quitting. (Quit: Leaving.)
[2013-01-25 01:19:21] sourishkrout, joining. (#appium)
[2013-01-25 01:26:32] sourishkrout, quitting. (Ping timeout: 252 seconds)
[2013-01-25 01:50:44] admc, quitting. (Ping timeout: 248 seconds)
[2013-01-25 02:24:24] sourishkrout, joining. (#appium)
[2013-01-25 02:31:41] sourishkrout, quitting. (Ping timeout: 245 seconds)
[2013-01-25 03:27:54] sourishkrout, joining. (#appium)
[2013-01-25 03:32:04] sourishkrout, quitting. (Ping timeout: 248 seconds)
[2013-01-25 05:28:38] sourishkrout, joining. (#appium)
